Date,Name,Year,Letterboxd URI,Rating,decade,genre,liked
2025-05-25,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,3.0,2020,"['Action', 'Adventure', 'Thriller']",no
2025-05-26,The Celebration,1998,https://boxd.it/2aCM,4.5,1990,['Drama'],no
2025-05-28,The Loved Ones,2009,https://boxd.it/NdC,3.0,2000,['Horror'],no
2025-05-30,The Final Destination,2009,https://boxd.it/1EmW,2.0,2000,"['Horror', 'Mystery']",no
2025-05-30,The Wolf House,2018,https://boxd.it/i1vE,4.0,2010,"['Drama', 'Horror', 'Animation']",no
2025-06-05,Tea and Sympathy,1956,https://boxd.it/9Hi,4.5,1950,['Drama'],no
2025-06-08,D.E.B.S.,2004,https://boxd.it/2aaS,4.0,2000,"['Action', 'Comedy', 'Romance']",yes
2025-06-11,Peppermint Soda,1977,https://boxd.it/2NiG,4.5,1970,"['Drama', 'Comedy']",no
2025-06-25,28 Weeks Later,2007,https://boxd.it/28Bi,3.0,2000,"['Horror', 'Science Fiction', 'Thriller']",no
2025-07-12,Bring Her Back,2025,https://boxd.it/Hxlc,3.5,2020,['Horror'],no
2025-07-14,Witness for the Prosecution,1957,https://boxd.it/18H4,4.5,1950,"['Crime', 'Mystery', 'Drama']",no
2025-07-18,Superman,2025,https://boxd.it/E9IU,4.5,2020,"['Science Fiction', 'Adventure', 'Action']",no
2025-07-30,The Ear,1970,https://boxd.it/38Sg,4.0,1970,"['Drama', 'Mystery', 'Thriller']",no
2025-07-30,A History of Violence,2005,https://boxd.it/2bfa,3.0,2000,"['Thriller', 'Drama', 'Crime']",no
2025-07-30,Death of a Unicorn,2025,https://boxd.it/HCPm,2.5,2020,"['Comedy', 'Horror', 'Fantasy']",no
2025-07-30,Another Gay Movie,2006,https://boxd.it/1Rdo,1.0,2000,"['Romance', 'Comedy']",no
2025-07-30,Alma's Rainbow,1994,https://boxd.it/8yF8,3.0,1990,"['Drama', 'Comedy']",no
2025-07-30,The Watermelon Woman,1996,https://boxd.it/RRc,3.5,1990,"['Comedy', 'Drama', 'Romance']",no
2025-07-30,The Trial,1962,https://boxd.it/25Xg,4.0,1960,"['Mystery', 'Crime', 'Drama']",no
2025-08-01,Minority Report,2002,https://boxd.it/2aWi,4.0,2000,"['Thriller', 'Science Fiction', 'Action']",no
2025-08-01,The Vanishing,1988,https://boxd.it/1ZTW,3.5,1980,"['Mystery', 'Horror', 'Thriller']",no
2025-08-02,Dumplings,2004,https://boxd.it/1ZgA,4.0,2000,['Horror'],no
2025-08-03,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,3.5,2020,"['Action', 'Science Fiction', 'Adventure']",no
2025-08-05,Strange Days,1995,https://boxd.it/2aGO,3.0,1990,"['Crime', 'Science Fiction', 'Drama', 'Thriller']",no
