Date,Name,Year,Letterboxd URI,Rating,decade,genres,liked,tmdb_id,runtime,lang,keywords
2024-10-12,Chicken for Linda!,2023,https://boxd.it/lGfS,4.0,2020,"['Animation', 'Comedy', 'Family']",no,589026,73,fr,[]
2024-10-12,Peeping Tom,1960,https://boxd.it/1Utk,4.0,1960,"['Horror', 'Thriller', 'Drama']",no,11167,101,en,"['london, england', 'primal fear', 'photography', 'obsession', 'childhood trauma', 'serial killer', 'landlord', 'boarding house', 'filmmaking', 'illegal prostitution', 'peeping tom', 'loner', 'voyeurism', 'blind mother', 'traumatic childhood', 'blind woman', 'sexual predator', 'proto-slasher', 'male gaze', 'mother and daughter', 'disturbed person', 'psychological trauma', 'psychological distress', 'focus puller']"
2024-10-14,The Witches,1990,https://boxd.it/1WVg,3.0,1990,"['Fantasy', 'Family', 'Horror']",no,10166,91,en,"['hotel', 'witch', 'based on novel or book', 'grandparent grandchild relationship', 'mouse', 'transformation', 'tree house', ""based on children's book"", 'seaside']"
2024-10-17,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK,4.5,1960,['Drama'],no,396,131,en,"['adultery', 'professor', 'married couple', 'guest', 'black humor', 'based on play or musical', 'campus', 'dysfunctional marriage', 'alcohol abuse', 'new england', 'cuckold', 'one night', 'henpecked husband', 'house guest', 'college professor', 'marital tensions', 'academia', 'dead son', 'impotent husband', 'nasty wife', 'cuckolded husband', 'nagging wife', 'hysterical drunks', 'bickering couple', 'shattered reality', 'openly flirtatious wife', 'acerbic couple', 'alcoholic couple']"
2024-10-18,Scream,2022,https://boxd.it/o0lg,3.5,2020,"['Horror', 'Mystery']",no,646385,114,en,"['mask', 'attempted murder', 'hallucination', 'murder', 'teen movie', 'serial killer', 'hospital', 'slasher', 'whodunit', 'killing spree', 'hometown', 'reboot', 'crime spree', 'illegitimate child', 'murder mystery', 'legacy', 'fandom', 'copycat killer', 'generation z', 'murder spree', 'sister sister relationship', 'retired cop', 'return to hometown', 'adoring', 'teen scream']"
2024-10-19,Children of the Corn,1984,https://boxd.it/1ViW,2.0,1980,"['Horror', 'Thriller']",no,10823,92,en,"['small town', 'sacrifice', 'children gang', 'human sacrifice', 'paganism', 'evil preacher', 'preacher', 'based on short story', 'religious cult', 'killer child', 'folk horror', 'cornfield']"
2024-10-21,The Substance,2024,https://boxd.it/zanS,4.0,2020,"['Drama', 'Horror', 'Science Fiction']",no,933260,141,en,"[""new year's eve"", 'capitalism', 'birthday', 'black market', 'identity', 'beauty', 'satire', 'aging', 'celebrity', 'female protagonist', 'los angeles, california', 'has been', 'aerobics', 'disfigurement', 'woman in jeopardy', 'woman director', 'disturbed', 'substance', 'grim', 'beauty standards', 'insecure woman', 'self image', 'toxic masculinity', 'drug', 'body horror', 'female rage', 'youth', 'actress', 'bold', 'condescending', 'farcical', 'sardonic']"
2024-10-24,Force Majeure,2014,https://boxd.it/7UcA,4.0,2010,['Drama'],no,265189,120,sv,"['husband wife relationship', 'dark comedy', 'family relationships', 'cowardliness', 'family vacation', 'coward', 'avalanche', 'running away', 'near-death experience', 'french alps', 'psychodrama', 'ski holiday', 'swedish family']"
2024-10-26,May,2002,https://boxd.it/1V8M,3.5,2000,"['Drama', 'Horror', 'Comedy']",no,10894,93,en,"['obsession', 'difficult childhood', 'bisexuality', 'fetishism', 'childhood trauma', 'imaginary friend', 'murder', 'loneliness', 'serial killer', 'female protagonist', 'doll', 'mental illness', 'lgbt', 'character study', 'socially awkward', 'independent film', 'dry humor', 'lazy eye', 'admiring']"
2024-10-26,Cure,1997,https://boxd.it/1blA,4.0,1990,"['Crime', 'Thriller', 'Horror', 'Mystery']",no,36095,112,ja,"['hotel', 'prostitute', 'amnesia', 'based on novel or book', 'investigation', 'hallucination', 'interview', 'murder', 'serial killer', 'tokyo, japan', 'interrogation', 'stranger', 'hypnotism', 'psychosis', 'record player', 'mental hospital', 'aggressive', 'neo-noir', 'personality disorder', 'anxious', 'sinister', 'bold']"
